WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
3769379,Herr Meets Hare,None,None,None,None,7.0,738.0,None,Friz Freleng,None
20992613,Las Meninas,None,850000.0,None,None,7.1,107.0,None,Ihor Podolchak,None
31269080,Save a Little Sunshine,None,None,None,None,4.6,31.0,None,Norman Lee,None
13490671,Goin' Straight,None,None,None,None,None,None,None,Fred Kelsey,None
1688037,The Street Fighter,None,None,None,None,6.9,5500.0,None,Shigehiro Ozawa,None
1149303,Ilsa: She-Wolf of the SS,None,None,None,None,5.1,8100.0,None,Don Edmonds,None
7255525,A New Cure for Divorce,None,None,None,None,None,None,None,Lloyd Lonergan,None
12961947,Twin Flats,None,None,None,None,None,None,None,Will Louis,None
852742,Kama Sutra: A Tale of Love,4109095.0,3000000.0,4109095.0,53499.0,6.0,11000.0,None,Mira Nair,None
13195338,Southbound,773910.0,None,None,None,5.6,75.0,None,Yoshimitsu Morita,None
12686343,Near Dark,None,None,None,None,None,None,None,None,None
6745762,King Lear,None,None,None,None,7.6,851.0,None,Michael Elliott,None
11374091,Gopi,None,None,None,None,6.8,239.0,None,A. Bhimsingh,None
14141235,12,7537453.0,4000000.0,125120.0,12042.0,7.6,15000.0,None,Nikita Mikhalkov,None
17623355,Trigger Man,None,10000.0,None,None,4.6,843.0,None,Ti West,None
9753917,Mano Destra,None,None,None,None,6.6,29.0,None,Cleo Uebelmann,None
23437432,Madame Aema 8,None,None,None,None,None,None,None,Do-won Seok,None
35998536,Born Villain,None,None,None,None,6.7,254.0,None,Shia LaBeouf,None
28872155,The Other Side of the Mountain Part 2,11565678.0,None,11565678.0,None,6.1,383.0,None,Larry Peerce,None
7697263,Walk the Angry Beach,None,None,None,None,1.9,623.0,None,John Hayes,None
24029843,Sophie's Revenge,623442.0,3000000.0,None,None,5.9,1400.0,None,Eva Jin,None
2503816,First Contact,None,None,None,None,7.7,263.0,None,Robin Anderson,None
26177582,The Uncle,None,None,None,None,7.1,111.0,None,Desmond Davis,None
9190913,Possessed,None,None,None,None,6.9,2300.0,None,Clarence Brown,None
12510736,Sissi - Fateful Years of an Empress,None,None,None,None,6.6,5800.0,None,Ernst Marischka,None
31665267,Under the Greenwood Tree,None,None,None,None,6.9,14.0,None,Harry Lachman,None
32175790,Spooks,None,None,None,None,6.0,132.0,None,Walter Lantz,None
167857,The Usual Suspects,23341568.0,6000000.0,23341568.0,645363.0,8.5,1100000.0,329.0,Bryan Singer,None
8995918,Ladybug Ladybug,None,None,None,None,7.2,924.0,None,Frank Perry,None
23691219,In Old Amarillo,None,184686.0,None,None,6.1,87.0,None,William Witney,None
3710785,National Treasure: Book of Secrets,459242249.0,130000000.0,219964115.0,44783772.0,6.5,249000.0,2644.0,Jon Turteltaub,None
9653411,A Little Stiff,None,None,None,None,7.0,92.0,None,Greg Watkins,None
32305031,Bare Behind Bars,None,None,None,None,4.3,953.0,None,Oswaldo de Oliveira,None
24158862,Dudes,None,None,None,None,5.6,1600.0,None,Penelope Spheeris,None
8001424,Without Words,None,None,None,None,6.8,17.0,None,Albert Kai-kwong Mak,None
6799694,Monsters,None,None,None,None,5.9,241.0,None,Robert Morgan,None
27948972,Antibody,None,3500000.0,None,None,3.4,1000.0,None,Christian McIntire,None
2165430,"Davy Crockett, King of the Wild Frontier",None,None,2150000.0,None,6.9,4700.0,None,Norman Foster,None
24146477,Hats Off,None,None,None,None,5.3,186.0,None,Boris Petroff,None
1280397,Exiled: A Law & Order Movie,None,None,None,None,6.4,1100.0,None,Jean de Segonzac,None
220521,Diamonds,None,None,None,None,5.1,342.0,None,Menahem Golan,None
7070586,The Barn Dance,None,5121.0,None,None,6.2,808.0,None,Walt Disney,None
11301002,Allegro s ognyom,None,None,None,None,6.7,57.0,None,Vladimir Strelkov,None
8882635,Eat and Run,None,None,None,None,4.7,373.0,None,Christopher Hart,None
36165939,Vietnam Colony,None,None,None,None,6.2,74.0,None,Santhana Bharathi,None
23591216,Shanti Enathu Shanti,None,None,None,None,5.4,9.0,None,Thesingu Rajendar,None
767783,Baise Moi,940944.0,None,420224.0,None,4.4,18000.0,4679.0,Virginie Despentes,None
33529111,Where the West Begins,None,None,None,None,4.8,47.0,None,J.P. McGowan,None
16966365,Tubular Bells III Live,None,None,None,None,None,None,None,None,None
32338078,U R My Jaan,None,150000000.0,None,None,5.9,107.0,None,Aron Govil,None
31598347,Daddy's Little Girl,None,None,None,None,None,None,None,None,None
31812394,Yanky Clippers,None,None,None,None,6.3,92.0,None,Walter Lantz,None
11498750,Waris Jari Hantu,512937.0,1600000.0,None,None,5.8,38.0,None,Shuhaimi Baba,None
3424400,Necromania,None,7000.0,None,None,3.3,523.0,None,Edward D. Wood Jr.,None
9998051,Intimidades de una cualquiera,None,None,None,None,6.0,57.0,None,Armando Bo,None
27537815,Comedy of Power,8987781.0,None,80550.0,10061.0,6.3,3000.0,None,Claude Chabrol,None
19841320,Lost Command,None,None,None,None,6.3,2200.0,None,Mark Robson,None
2229321,Thunder Bay,None,None,2400000.0,None,6.5,2100.0,None,Anthony Mann,None
32890417,Under a Jarvis Moon,None,None,None,None,9.2,13.0,None,Heather Haunani Giugni,None
34191167,Goshta Choti Dongraevadhi,None,None,None,None,8.2,117.0,None,Nagesh Bhonsle,None
6351105,Night Mail,None,None,None,None,6.8,1400.0,None,Harry Watt,None
30422333,Chirusoku no natsu,None,None,None,None,6.5,56.0,None,Kiyoshi Sasabe,None
1441555,Love Meetings,2248.0,None,None,None,7.5,2500.0,None,Pier Paolo Pasolini,None
26011817,Destino Imortal,None,None,None,None,5.8,63.0,None,Catarina Wallenstein,None
9998044,Hay que romper la rutina,None,None,None,None,6.6,88.0,None,Enrique Cahen Salaberry,None
20434247,Saaz Aur Sanam,None,None,None,None,None,None,None,J.B.H. Wadia,None
34164539,Mahaanta: The Film,None,None,None,None,4.1,202.0,None,Afzal Khan,None
17930228,Hollywood on Parade,None,None,None,None,5.1,32.0,None,Bud Friedgen,None
32136799,Kartoos,None,None,None,None,5.1,618.0,None,Mahesh Bhatt,None
9111772,Kanthaswamy,1196172.0,400000000.0,None,None,5.1,1900.0,None,Susi Ganesan,None
23647555,Gunshy,None,3500000.0,None,None,5.9,1200.0,None,Jeff Celentano,None
18621815,Red Sonja,None,None,None,None,None,None,None,None,None
34655430,Pick Pocket,None,None,None,None,6.9,8.0,None,G.M. Kumar,None
9830383,The Story of 1,None,None,None,None,7.5,260.0,None,Nick Murphy,None
14441277,Mary Tyler Moore: The 20th Anniversary Show,None,None,None,None,7.1,27.0,None,Jack Haley Jr.,None
10973019,Eva,3030.0,None,None,None,6.4,2000.0,None,Joseph Losey,None
18002657,Rajavinte Makan,None,1400000.0,None,None,7.7,818.0,None,Thampi Kannanthanam,None
12841244,His Sudden Recovery,None,None,None,None,None,None,None,Arthur Hotaling,None
2108624,Porky's Revenge,20518905.0,9000000.0,20518905.0,6207507.0,4.8,9100.0,None,James Komack,None
23608303,When the Mountains Tremble,None,None,None,None,7.7,176.0,None,Newton Thomas Sigel,None
30443851,Stico,None,None,None,None,6.4,121.0,None,Jaime de Armiñán,None
4288473,Bicentennial Man,87423861.0,100000000.0,58223861.0,8234926.0,6.9,123000.0,2672.0,Chris Columbus,None
32426830,Paying the Piper,None,None,None,None,6.9,323.0,None,Robert McKimson,None
5894794,Daffy Duck and Egghead,None,None,None,None,7.0,666.0,None,Tex Avery,None
19096565,Hour of Decision,None,None,None,None,5.4,146.0,None,C.M. Pennington-Richards,None
1156803,Sometimes Aunt Martha Does Dreadful Things,None,None,None,None,5.0,620.0,None,Thomas Casey,None
2027499,Stoked: The Rise and Fall of Gator,150268.0,None,150268.0,10998.0,7.1,1100.0,None,Helen Stickler,None
11078796,The Girl in Black,None,None,None,None,7.8,1100.0,None,Michael Cacoyannis,None
7753333,Top of the Food Chain,None,None,None,None,6.2,1000.0,None,John Paizs,None
6643948,Sleeping Dogs Lie,638627.0,None,15745.0,10890.0,5.9,3400.0,None,Bobcat Goldthwait,None
24475215,Naked Seven,None,None,None,None,4.8,143.0,None,Yasuharu Hasebe,None
26545312,Hatchet II,156190.0,800000.0,52604.0,52604.0,5.5,15000.0,None,Adam Green,None
30229982,WWE vs ECW Head to Head,None,None,None,None,None,None,None,None,None
165366,Stranger Than Paradise,2436000.0,90000.0,2436000.0,None,7.4,40000.0,None,Jim Jarmusch,None
28309223,Angi Vera,None,None,None,None,7.2,384.0,None,Pál Gábor,None
25563948,The Arcadian,None,None,None,None,5.6,34.0,None,Dekker Dreyer,None
2313306,Deadly,None,None,None,None,None,None,None,None,None
24461873,The Snob,None,None,None,None,None,None,None,Monta Bell,None
2728721,Tanguy,24273604.0,110000000.0,None,None,6.4,7400.0,None,Étienne Chatiliez,None
24030607,The Green Scarf,None,None,None,None,7.2,93.0,None,George More O'Ferrall,None
6453695,The Code,None,None,None,None,7.4,467.0,None,Hannu Puttonen,None
27471906,Hogi Pyaar Ki Jeet,None,None,None,None,4.5,607.0,None,P. Vasu,None
3680519,Tarzan Escapes,None,1058000.0,None,None,6.5,3500.0,None,Richard Thorpe,None
23831370,Cheerleaders Beach Party,None,None,None,None,3.1,303.0,None,Alex E. Goitein,None
20467427,Shadow Force,None,None,None,None,7.3,109.0,None,Ken Lamkin,None
7692089,You're Next,26895481.0,1000000.0,18494006.0,7020196.0,6.6,107000.0,2343.0,Adam Wingard,None
206845,Antz,171757863.0,105000000.0,90757863.0,17195160.0,6.5,162000.0,4589.0,Eric Darnell,None
17315314,Yentl,40218899.0,12000000.0,40218899.0,None,6.6,15000.0,1980.0,Barbra Streisand,None
34817175,Otelo Burning,25956.0,1000000.0,None,None,7.3,82.0,None,Sara Blecher,None
7220699,In-Bad the Sailor,None,None,None,None,None,None,None,Benjamin Stoloff,None
23750140,The Passenger - Welcome to Germany,None,None,None,None,6.6,92.0,None,Thomas Brasch,None
