WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
2697545,The Unsuspected,None,None,None,None,7.2,3600.0,None,Michael Curtiz,None
19378889,Two for Tonight,None,None,None,None,6.1,77.0,None,Frank Tuttle,None
11353680,Zindagi,None,None,None,None,6.4,71.0,None,Ramanand Sagar,None
1005379,Pompeii: The Last Day,None,None,None,None,7.1,1000.0,None,Peter Nicholson,None
3354073,Great Performances,None,None,None,None,7.9,864.0,None,Sheldon Epps,None
3264071,No Limit,None,None,None,None,5.9,125.0,None,Frank Tuttle,None
24732964,Minor Details,None,None,None,None,4.6,948.0,None,John Lyde,None
29709738,Kanyakumari Express,None,None,None,None,4.1,31.0,None,T.S. Suresh Babu,None
13379153,Nightmare,None,None,None,None,5.6,4300.0,None,Romano Scavolini,None
17367629,Winner Takes All,None,None,None,None,5.0,141.0,None,Clifton Ko,None
3445697,Everybody's Baby: The Rescue of Jessica McClure,None,None,None,None,6.5,861.0,None,Mel Damski,None
29462285,The Man Who Walked Alone,None,None,None,None,5.7,252.0,None,Christy Cabanne,None
13697594,Party Camp,None,None,None,None,4.1,368.0,None,Gary Graver,None
29832010,Il comune senso del pudore,None,None,None,None,6.0,310.0,None,Alberto Sordi,None
18422099,Being Jewish in France,None,None,None,None,8.3,20.0,None,Yves Jeuland,None
10712737,Cleaver,None,None,None,None,7.2,112.0,None,Ray Abruzzo,None
12601580,Sold Out: A Threevening with Kevin Smith,None,None,None,None,7.8,1800.0,None,Joey Figueroa,None
21910320,Tulpan,1166344.0,2150000.0,158741.0,8620.0,7.1,3400.0,None,Sergei Dvortsevoy,None
12942926,Avenging Bill,None,None,None,None,None,None,None,John A. Murphy,None
21024459,Inazuma Kaidō,None,None,None,None,None,None,None,Kazuo Mori,None
11625173,The Shining Hour,None,1068000.0,None,None,6.4,1300.0,None,Frank Borzage,None
1964205,The Blue Lagoon,None,None,None,None,6.4,625.0,None,Frank Launder,None
20570407,MegaMind,321885765.0,130000000.0,148415853.0,46016833.0,7.3,286000.0,1819.0,Tom McGrath,None
32730892,Land of Doom,None,None,None,None,3.6,743.0,None,Peter Maris,None
20579743,Maa Aur Mamta,None,None,None,None,7.0,40.0,None,Asit Sen,None
4098741,Salt and Pepper,None,None,None,None,5.1,725.0,None,Richard Donner,None
19203513,Peggy Leads the Way,None,None,None,None,None,None,None,Lloyd Ingraham,None
25490086,Night Pastor,None,None,None,None,5.4,35.0,None,Alex Chandon,None
28373644,Lízino štěstí,None,None,None,None,5.8,26.0,None,Václav Binovec,None
3255424,Duchess of Idaho,None,None,None,None,6.3,632.0,None,Robert Z. Leonard,None
4031078,Dr. Goldfoot and the Bikini Machine,None,300000.0,None,None,5.1,2600.0,None,Norman Taurog,None
4785986,Bedhead,None,None,None,None,6.5,2700.0,None,Robert Rodriguez,None
37599,Traffic,207515725.0,48000000.0,124115725.0,184725.0,7.6,217000.0,1914.0,Steven Soderbergh,None
23082093,American Radical: the trials of Norman Finkelstein,None,None,None,None,7.8,785.0,None,David Ridgen,None
24234358,Lady Behave!,None,None,None,None,6.1,256.0,None,Lloyd Corrigan,None
8250382,Sludge,None,None,None,None,None,None,None,None,None
31063484,A Warrior's Heart,None,2500000.0,None,None,5.2,2500.0,None,Mike Sears,None
6708645,Big Bird in Japan,None,250000.0,None,None,7.1,223.0,None,Jon Stone,None
978631,Pork Chop Hill,14200.0,None,None,None,7.1,5100.0,None,Lewis Milestone,None
4576677,Paid in Full,3116526.0,None,3090862.0,1328789.0,7.0,14000.0,None,Charles Stone III,None
5566129,Code of the Sea,None,None,None,None,5.5,51.0,None,Victor Fleming,None
17736304,The Longshots,11767866.0,23000000.0,11537046.0,4080687.0,5.6,4400.0,None,Fred Durst,None
13501099,Walk All Over Me,None,3200000.0,None,None,5.6,2500.0,None,Robert Cuffley,None
14143898,The Monster and the Ape,None,None,None,None,5.6,94.0,None,Howard Bretherton,None
4678118,The Toast of New York,None,1072000.0,None,None,6.3,1100.0,None,Rowland V. Lee,None
23539428,A Woman's Way,43818.0,None,None,None,7.3,4200.0,None,Panos H. Koutras,None
14737481,Drive a Crooked Road,None,None,None,None,6.9,2000.0,None,Richard Quine,None
16184187,Popcorn Khao! Mast Ho Jao,None,None,None,None,4.0,91.0,None,Kabir Sadanand,None
21131496,La Virgen gitana,None,None,None,None,6.6,34.0,None,Ramón Torrado,None
10791898,Iraivan Kodutha Varam,None,None,None,None,6.9,21.0,None,A. Bhimsingh,None
6091958,It's Great To Be Young,None,None,None,None,6.4,316.0,None,Cyril Frankel,None
12638350,Luxury Car,8992.0,None,None,None,6.5,415.0,None,Chao Wang,None
3801308,Heads or tails,None,17000.0,None,None,7.2,56.0,None,Clark Kline,None
26017269,Art Deco Detective,None,None,None,None,5.3,33.0,None,Philippe Mora,None
6685734,Firecracker,None,2000000.0,None,None,5.0,1000.0,None,Steve Balderson,None
20144640,Dae Jang-hwa Hong-ryeon jeon,None,None,None,None,7.3,14.0,None,Chang-hwa Jeong,None
18491444,Perth,None,350000.0,None,None,5.3,281.0,None,Djinn,None
28492550,Early Snow in Munich,None,None,None,None,6.2,83.0,None,Bogdan Zizic,None
2856257,Hungama,1979689.0,None,None,None,7.6,16000.0,None,Priyadarshan,None
9104281,Casanova Brown,None,None,None,None,6.2,1200.0,None,Sam Wood,None
26187246,Night Fright,None,18000.0,None,None,2.7,990.0,None,James A. Sullivan,None
12404853,King of the Pecos,None,None,None,None,6.0,550.0,None,Joseph Kane,None
10791894,Mullum Malarum,None,None,None,None,8.3,925.0,None,J. Mahendran,None
3160077,Hair-Raising Hare,14753.0,None,14753.0,12285.0,8.0,3100.0,None,Chuck Jones,None
20603201,Growing Pains: Return of the Seavers,None,None,None,None,4.3,543.0,None,Joanna Kerns,None
28171015,Lease of Life,None,None,None,None,6.8,315.0,None,Charles Frend,None
9417884,A Millionaire's First Love,None,None,None,None,7.2,5300.0,None,Tae-gyun Kim,None
19960810,United,1032021.0,6400000.0,None,None,6.2,1200.0,None,Magnus Martens,None
11244591,Push-Button Kitty,None,None,None,None,None,None,None,None,None
2391447,One of Our Dinosaurs is Missing,None,None,None,None,5.9,1900.0,None,Robert Stevenson,None
35004480,Dakar cherche de l'oxygène,None,None,None,None,None,None,None,None,None
