wikipedia_movie_id,name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
12831299,In the battlefields,None,None,None,None,6.2,222.0,None,Danielle Arbid,None
22643206,Ulbo Garvema,None,None,None,None,None,None,None,Maurits Binger,None
16963778,Sundown: The Future of Children and Drugs,None,None,None,None,None,None,None,None,None
3936178,Henna,None,None,None,None,6.2,747.0,None,Randhir Kapoor,None
16041241,Hush!,52462.0,None,21278.0,5322.0,6.8,735.0,None,Ryosuke Hashiguchi,None
29351561,Sanam Teri Kasam,None,None,None,None,4.2,182.0,None,Lawrence D'Souza,None
23367243,A Man of Principle,None,None,None,None,7.3,536.0,None,Francisco Norden,None
26325450,Saat Khoon Maaf,3924850.0,4770000.0,270207.0,164153.0,6.3,6400.0,None,Vishal Bhardwaj,None
92580,Friendly Persuasion,None,3000000.0,None,None,7.3,7600.0,None,William Wyler,None
23991052,Northern Lights,None,None,None,None,5.7,1900.0,None,Mike Robe,None
20123123,Antarctic Crossing,None,None,None,None,6.2,25.0,None,George Lowe,None
27556014,Chikan Densha: Suggestive Indecent Hips,None,None,None,None,None,None,None,Shinji Imaoka,None
24496628,Endangered Species,1474249.0,7000000.0,1474249.0,None,5.9,1100.0,None,Alan Rudolph,None
28373887,Jan Hus,None,None,None,None,6.9,221.0,None,Otakar Vávra,None
29105899,The Baby on the Barge,None,None,None,None,None,None,None,Cecil M. Hepworth,None
28870443,Norman's Awesome Experience,None,None,None,None,5.3,108.0,None,Paul Donovan,None
6058034,The War at Home,None,None,None,None,7.6,279.0,None,Barry Alexander Brown,None
27941357,Behind Office Doors,None,None,None,None,6.1,555.0,None,Melville W. Brown,None
12228903,Long Night's Journey Into Day,50715.0,None,50715.0,6027.0,7.5,265.0,None,Deborah Hoffmann,None
15868571,Manners of Dying,None,1070000.0,None,None,7.0,220.0,None,Jeremy Peter Allen,None
23355902,The Briggs Family,None,None,None,None,7.0,11.0,None,Herbert Mason,None
25326327,Dinner with a Vampire,None,None,None,None,4.6,358.0,None,Lamberto Bava,None
15567100,In the Days of Buffalo Bill,None,None,None,None,None,None,None,Edward Laemmle,None
29459297,Les Veinards,None,None,None,None,5.9,319.0,None,Philippe de Broca,None
28623,Salò o le 120 giornate di Sodoma,1808595.0,None,None,None,5.8,64000.0,456.0,Pier Paolo Pasolini,None
11037366,Whisper,5285197.0,12000000.0,None,None,5.7,10000.0,None,Stewart Hendler,None
4139966,Cher: The Farewell Tour Live in Miami,None,None,None,None,8.4,435.0,None,David Mallet,None
27090848,The Desert Hawk,None,None,None,None,5.5,309.0,None,Frederick De Cordova,None
28467649,The Rat Savior,None,None,None,None,6.7,902.0,None,Krsto Papic,None
28751715,From the waist on,134603.0,None,None,None,6.0,138.0,None,Gianfrancesco Lazotti,None
5872413,Apache,None,1240000.0,None,None,6.3,4800.0,None,Robert Aldrich,None
32130162,Belle of the Yukon,None,None,None,None,5.3,454.0,None,William A. Seiter,None
523357,Primary,None,200000.0,None,None,7.1,1400.0,None,Robert Drew,None
35394173,Hum Bhi Insaan Hain,None,None,None,None,5.9,50.0,None,Manivannan,None
23215861,Parsifal,None,3000000.0,None,None,7.6,324.0,None,Hans-Jürgen Syberberg,None
349941,Being John Malkovich,23106667.0,13000000.0,22863596.0,637721.0,7.7,349000.0,1694.0,Spike Jonze,None
16216319,Goodnight Cleveland,None,500000.0,None,None,7.7,79.0,None,Jim Heneghan,None
33448702,Prince of Peace,None,None,None,None,5.8,35.0,None,William Beaudine,None
31475948,Broken Strings,None,None,None,None,5.6,167.0,None,Bernard B. Ray,None
15106250,Roman Polanski: Wanted and Desired,100458.0,None,59192.0,4613.0,7.2,5200.0,None,Marina Zenovich,None
17093192,Ways to Strength and Beauty,None,None,None,None,5.8,157.0,None,Nicholas Kaufmann,None
28786044,The Traitor,None,None,None,None,5.7,302.0,None,Gilbert Gunn,None
36074659,Hibakusha,None,None,None,None,6.8,138.0,None,Choz Belen,None
6276183,Blahbalicious,None,None,None,None,None,None,None,None,None
29564089,100 Greatest Stand-Ups,None,None,None,None,None,None,None,None,None
18793990,The Base 2: Guilty as Charged,None,None,None,None,None,None,None,None,None
27073625,Hope Ranch,None,None,None,None,6.2,204.0,None,Rex Piano,None
