WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
17489457,Moscowin Kaveri,None,None,None,None,4.2,55.0,None,Ravi Varman,None
2443868,Koi Mere Dil Se Poochhe,None,None,None,None,3.4,320.0,None,Vinay Shukla,None
32896267,The Pioneers,None,None,None,None,None,None,None,Raymond Longford,None
3835239,The Power Within,None,None,None,None,5.0,378.0,None,Art Camacho,None
20320460,Black Dynamite,296557.0,2900000.0,242578.0,131862.0,7.4,51000.0,None,Scott Sanders,None
469520,Avalon,15779578.0,20000000.0,15740796.0,226613.0,7.2,6700.0,None,Barry Levinson,None
33048291,Sarah Palin: You Betcha!,10935.0,None,10935.0,6911.0,6.3,860.0,None,Nick Broomfield,None
19703518,Perkins' 14,103054.0,None,None,None,5.0,2300.0,None,Craig Singer,None
5187488,Bataan,None,958000.0,None,None,6.9,2600.0,None,Tay Garnett,None
16638600,Exposé,None,None,None,None,5.4,1300.0,None,James Kenelm Clarke,None
2200600,Rubber Johnny,None,None,None,None,7.3,3100.0,None,Chris Cunningham,None
6796782,Tagged: The Jonathan Wamback Story,None,None,None,None,7.1,355.0,None,John L'Ecuyer,None
1708039,Bulldog Drummond's Revenge,None,None,None,None,5.8,705.0,None,Louis King,None
16340297,A Rainbow Plays in My Heart,None,None,None,None,7.4,8.0,None,Ishirô Honda,None
1792094,Zubeidaa,None,None,None,None,6.5,1700.0,None,Shyam Benegal,None
33952269,Kathirukka Neramillai,None,None,None,None,5.1,16.0,None,Gladius Kulothungan,None
33075861,Bluebeard's 8th Wife,None,None,215000.0,None,6.9,29.0,None,Sam Wood,None
35566549,Do Premee,None,None,None,None,None,None,None,None,None
9014467,9 millimeter,None,None,None,None,3.1,964.0,None,Peter Lindmark,None
30689928,Utt Pataang,None,None,None,None,6.0,324.0,None,Srikanth Velagaleti,None
5234170,Dead Fire,None,None,None,None,None,None,None,None,None
4190975,Lady Paname,None,None,None,None,6.8,142.0,None,Henri Jeanson,None
33597212,Three Quarter Moon,2929474.0,None,None,None,7.0,816.0,None,Christian Zübert,None
34693530,Sons of the Anzacs,None,None,None,None,None,None,None,None,None
23276491,Ee Parakkum Thalika,None,None,None,None,7.4,1200.0,None,Thaha,None
20579475,Salim Baba,None,None,None,None,7.3,107.0,None,Tim Sternberg,None
30294906,Gravity,773031583.0,100000000.0,274092705.0,55785112.0,7.7,851000.0,1818.0,Alfonso Cuarón,None
19389615,Fish Hooky,None,None,None,None,7.6,221.0,None,Robert F. McGowan,None
15438660,Raman Thediya Seethai,57049.0,None,None,None,7.2,144.0,None,Jagan,None
6187293,Hermit Village,None,None,None,None,None,None,None,None,None
5731775,Guns of the Magnificent Seven,None,None,None,None,5.7,3100.0,None,Paul Wendkos,None
24747725,My Friend Max,None,None,None,None,7.3,211.0,None,Michel Brault,None
11506353,The Friendly Ghost,None,None,None,None,6.6,508.0,None,Izzy Sparber,None
3286039,The Phantom Empire,None,70000.0,None,None,6.2,523.0,None,Otto Brower,None
24469731,Delirium,None,None,None,None,5.6,2300.0,None,Lamberto Bava,None
10554740,Carmen Jones,None,750000.0,None,None,6.8,5800.0,None,Otto Preminger,None
31793252,The University Days of a Dog,None,None,None,None,None,None,None,Zhengyu Lu,None
10980086,Taking Liberties,146401.0,None,None,None,7.6,464.0,None,Chris Atkins,None
2918858,The Fog,46201432.0,18000000.0,29550869.0,11752917.0,3.7,39000.0,None,Rupert Wainwright,None
28223744,L'onorata società,None,None,None,None,6.8,65.0,None,Riccardo Pazzaglia,None
5811055,Amour et confusions,None,None,None,None,4.6,216.0,None,Patrick Braoudé,None
34613375,O Cônsul de Bordéus,None,None,None,None,6.2,360.0,None,João Correa,None
19273598,Sagan,5337194.0,None,None,None,6.3,882.0,None,Diane Kurys,None
25934792,Wings Over Honolulu,None,None,None,None,5.2,100.0,None,H.C. Potter,None
4924098,The Reality of My Surroundings – Past to Present,None,None,None,None,None,None,None,None,None
26764214,Convicted,None,None,None,None,4.8,90.0,None,Christy Cabanne,None
35740519,In The Mood,None,None,None,None,None,None,None,Jack Duffy,None
1014419,Jönssonligan spelar högt,None,None,None,None,4.6,1800.0,None,Tomas Ryberger,None
3879903,The Dungeonmaster,None,None,None,None,4.5,2800.0,None,David Allen,None
20881414,The Shadow Men,None,2000000.0,None,None,4.5,1200.0,None,Timothy Bond,None
35715631,Naalvar,None,None,None,None,None,None,None,None,None
10890876,Aadmi Sadak Ka,None,None,None,None,5.3,42.0,None,Devendra Goel,None
10301577,Three Cases of Murder,None,250000.0,None,None,6.5,1100.0,None,David Eady,None
19154254,Pleasures,None,None,None,None,7.0,77.0,None,Sharron Miller,None
17183430,La Funivia del faloria,None,None,None,None,6.8,64.0,None,Michelangelo Antonioni,None
30050508,Cloud 9,None,None,None,None,4.2,1200.0,None,Harry Basil,None
34032891,Muta Mestri,None,None,None,None,None,None,None,None,None
7704495,Crapston Villas,None,None,None,None,7.3,160.0,None,Alison Steadman,None
31078119,Betrayal,None,None,None,None,None,None,None,Reginald Fogwell,None
33739292,The Kiddies in the Ruins,None,None,None,None,None,None,None,George Pearson,None
32071485,Second to None,None,None,None,None,None,None,None,Jack Raymond,None
5472338,The Clown Murders,None,135000.0,None,None,3.7,468.0,None,Martyn Burke,None
1063632,Kyaa Dil Ne Kahaa,None,None,None,None,2.9,309.0,None,Sanjay Chhel,None
31026307,La visita que no tocó el timbre,None,None,None,None,7.2,15.0,None,Julián Soler,None
11525423,Red Line 7000,None,2425000.0,None,None,5.6,1100.0,None,Howard Hawks,None
22568371,Dhaya,None,None,None,None,4.8,16.0,None,Senthil Kumar,None
7271291,A Mix-Up in Pedigrees,None,None,None,None,None,None,None,Francelia Billington,None
31378480,Gerald,None,350000.0,None,None,6.8,44.0,None,Marc Clebanoff,None
34506704,Principal Takes a Holiday,None,None,None,None,5.9,413.0,None,Robert King,None
6838440,Homeland Security,None,None,None,None,4.2,449.0,None,Daniel Sackheim,None
28373638,Malí velcí podvodníci,None,None,None,None,None,None,None,None,None
