WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
12974884,The Millionaire,None,None,None,None,None,None,None,Arvid E. Gillstrom,1917
23666621,Pas question le samedi,None,None,None,None,7.1,54.0,None,Alex Joffé,1965
25626519,The Iron Gate,None,None,None,None,7.5,5200.0,None,Youssef Chahine,1958
31859374,Death Is a Number,None,None,None,None,5.1,73.0,None,Robert Henryson,1951
28646493,Buick Riviera,None,1000000.0,None,None,6.4,255.0,None,Goran Rusinovic,2008
6991464,Guillaume et les sortilèges,None,None,None,None,7.8,11.0,None,Pierre Léon,2007
30173794,The Stars Shine,None,None,None,None,6.3,63.0,None,Hans H. Zerlett,1938
32029122,Jihne Mera Dil Luteya,2551.0,30000000.0,None,None,7.4,1100.0,None,Mandeep Kumar,2011
2509678,Tiger Town,None,None,None,None,6.4,311.0,None,Alan Shapiro,1983
1812216,Coneheads,21274717.0,30000000.0,21274717.0,7100501.0,5.4,57000.0,3251.0,Steve Barron,1993
24073089,Folks!,6132924.0,15000000.0,6132924.0,2177518.0,5.7,2800.0,None,Ted Kotcheff,1992
26036211,Interference,None,None,None,None,6.2,149.0,None,Lothar Mendes,1928
35244336,The Trouble with Bliss,13093.0,None,13093.0,4618.0,5.3,2800.0,None,Michael Knowles,2011
5826081,Mivtsa Yonatan,None,2500000.0,None,None,6.6,998.0,None,Menahem Golan,1977
5632097,The Dream Weaver,None,None,None,None,None,None,None,None,None
31348779,Det kunne vært deg,None,None,None,None,5.8,25.0,None,Kåre Bergstrøm,1952
5710780,The Legend of Zu,141084.0,35000000.0,None,None,5.1,3700.0,None,Hark Tsui,2001
20581365,Zaroorat,None,None,None,None,6.7,18.0,None,B.R. Ishara,1972
21686599,Mannerheim,None,None,None,None,None,None,None,None,None
2831521,Night Of The Demon,None,70000.0,None,None,4.7,2400.0,None,James C. Wasson,1980
20553894,Wind Across the Everglades,None,None,None,None,6.6,1200.0,None,Nicholas Ray,1958
23909368,How Dark the Nights Are on the Black Sea,None,None,None,None,6.5,85.0,None,Vasili Pichul,1989
11243442,The Missing Postman,None,None,None,None,7.8,189.0,None,Alan Dossor,1997
25304227,Flowing Gold,None,None,None,None,6.5,510.0,None,Alfred E. Green,1940
269528,Colossus: The Forbin Project,None,None,None,None,7.1,9900.0,None,Joseph Sargent,1970
6963236,Kshatriya,None,None,None,None,5.9,693.0,None,J.P. Dutta,1993
19062669,The Boy in the Striped Pyjamas,40416563.0,12500000.0,9046156.0,253085.0,7.7,237000.0,1991.0,Mark Herman,2008
26616774,Sumangali,None,None,None,None,None,None,None,B.N. Reddi,1940
14973796,A Perfect 36,None,None,None,None,None,None,None,Charles Giblyn,1918
20903190,Ek Mahal Ho Sapno Ka,None,None,None,None,7.1,83.0,None,Devendra Goel,1975
8191504,Manpower,None,None,None,None,5.6,27.0,None,Paul V. McNutt,1942
23633579,The Vyborg Side,None,None,None,None,6.0,162.0,None,Grigoriy Kozintsev,1939
