WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
975900,Ghosts of Mars,14010832.0,28000000.0,8709640.0,3804452.0,4.9,57000.0,3850.0,John Carpenter,2001
3196793,Getting Away with Murder: The JonBenét Ramsey Mystery,None,None,None,None,6.0,69.0,None,Edward Lucas,2000
28463795,Brun bitter,None,None,None,None,5.6,40.0,None,Sølve Skagen,1988
9363483,White Of The Eye,None,None,225132.0,None,6.1,2900.0,None,Donald Cammell,1987
261236,A Woman in Flames,None,None,None,None,5.9,623.0,None,Robert van Ackeren,1983
13696889,The Gangsters,None,None,None,None,6.8,17.0,None,Henry Lehrman,1913
18998739,The Sorcerer's Apprentice,None,None,None,None,None,None,None,None,None
10408933,Alexander's Ragtime Band,None,2000000.0,None,None,6.8,2300.0,None,Henry King,1938
9997961,Contigo y aquí,None,None,None,None,None,None,None,None,None
2345652,City of the Dead,None,45000.0,None,None,6.7,8300.0,None,John Llewellyn Moxey,1960
175026,Sarah and Son,None,None,None,None,5.4,300.0,None,Dorothy Arzner,1930
24229100,Lady Snowblood 2: Love Song of Vengeance,None,None,None,None,6.3,4100.0,None,Toshiya Fujita,1974
6631279,Little city,None,None,None,None,5.8,1100.0,None,Roberto Benabib,1997
171005,Henry V,10161099.0,9000000.0,10161099.0,64933.0,7.5,31000.0,None,Kenneth Branagh,1989
18296435,Aaah Belinda,None,None,None,None,7.8,3500.0,None,Atif Yilmaz,1986
11250635,The Mechanical Monsters,None,None,None,None,7.4,1600.0,None,Dave Fleischer,1941
30388930,1919,None,None,None,None,6.2,111.0,None,Hugh Brody,1985
77856,Mary Poppins,103082380.0,6000000.0,102272727.0,None,7.8,182000.0,1219.0,Robert Stevenson,1964
32456683,Die Fahne von Kriwoj Rog,None,None,None,None,7.6,23.0,None,Kurt Maetzig,1967
33420460,Keep the Change,None,None,None,None,5.7,96.0,None,Andy Tennant,1992
175024,The Devil's Holiday,None,None,None,None,6.0,240.0,None,Edmund Goulding,1930
612710,New Rose Hotel,21521.0,None,21521.0,5147.0,5.1,6000.0,None,Abel Ferrara,1998
21926710,White on Rice,69171.0,None,69171.0,8079.0,6.1,545.0,None,Dave Boyle,2009
33427105,Freddy and the Song of the South Pacific,None,None,None,None,5.3,50.0,None,Werner Jacobs,1962
31983669,Road to Life,None,None,None,None,6.9,457.0,None,Nikolai Ekk,1931
17715326,Camera Thrills,None,None,None,None,6.3,14.0,None,Charles E. Ford,1935
22087420,"Ferdinando I, re di Napoli",None,None,None,None,6.4,187.0,None,Gianni Franciolini,1959
20604092,Anbu Thozhi,None,None,None,None,None,None,None,None,None
21344842,Middle Age Spread,None,None,None,None,6.0,37.0,None,John Reid,1979
156558,Baby Boy,29381649.0,16000000.0,28734552.0,8606403.0,6.4,16000.0,None,John Singleton,2001
11448183,Bindiya Chamkegi,None,None,None,None,4.9,24.0,None,Tarun Dutt,1984
9633533,Vandanam,None,None,None,None,7.9,1300.0,None,Priyadarshan,1989
31323091,Emilia Galotti,None,None,None,None,5.2,25.0,None,Martin Hellberg,1958
27611999,Special Effects,None,None,None,None,5.3,1200.0,None,Larry Cohen,1984
31025505,El Misterioso señor Marquina,None,None,None,None,None,None,None,None,None
29528534,Anokha Rishta,None,None,None,None,7.2,61.0,None,I.V. Sasi,1986
