WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
2697545,The Unsuspected,None,None,None,None,7.2,3.6,None,Michael Curtiz,None
19378889,Two for Tonight,None,None,None,None,6.1,77.0,None,Frank Tuttle,None
11353680,Zindagi,None,None,None,None,6.4,71.0,None,Ramanand Sagar,None
1005379,Pompeii: The Last Day,None,None,None,None,7.1,None,None,Peter Nicholson,None
3354073,Great Performances,None,None,None,None,7.9,864.0,None,Sheldon Epps,None
3264071,No Limit,None,None,None,None,None,None,None,None,None
24732964,Minor Details,None,None,None,None,4.6,948.0,None,John Lyde,None
29709738,Kanyakumari Express,None,None,None,None,4.1,31.0,None,T.S. Suresh Babu,None
13379153,Nightmare,None,None,None,None,5.6,4.3,None,Romano Scavolini,None
17367629,Winner Takes All,None,None,None,None,5.0,141.0,None,Clifton Ko,None
3445697,Everybody's Baby: The Rescue of Jessica McClure,None,None,None,None,None,None,None,None,None
29462285,The Man Who Walked Alone,None,None,None,None,None,None,None,None,None
13697594,Party Camp,None,None,None,None,None,None,None,None,None
29832010,Il comune senso del pudore,None,None,None,None,None,None,None,None,None
18422099,Being Jewish in France,None,None,None,None,None,None,None,None,None
10712737,Cleaver,None,None,None,None,None,None,None,None,None
12601580,Sold Out: A Threevening with Kevin Smith,None,None,None,None,None,None,None,None,None
21910320,Tulpan,None,None,None,None,None,None,None,None,None
12942926,Avenging Bill,None,None,None,None,None,None,None,None,None
21024459,Inazuma Kaidō,None,None,None,None,None,None,None,None,None
11625173,The Shining Hour,None,None,None,None,None,None,None,None,None
1964205,The Blue Lagoon,None,None,None,None,None,None,None,None,None
20570407,MegaMind,None,None,None,None,None,None,None,None,None
32730892,Land of Doom,None,None,None,None,None,None,None,None,None
20579743,Maa Aur Mamta,None,None,None,None,None,None,None,None,None
4098741,Salt and Pepper,None,None,None,None,None,None,None,None,None
19203513,Peggy Leads the Way,None,None,None,None,None,None,None,None,None
25490086,Night Pastor,None,None,None,None,None,None,None,None,None
28373644,Lízino štěstí,None,None,None,None,None,None,None,None,None
3255424,Duchess of Idaho,None,None,None,None,None,None,None,None,None
4031078,Dr. Goldfoot and the Bikini Machine,None,None,None,None,None,None,None,None,None
4785986,Bedhead,None,None,None,None,None,None,None,None,None
37599,Traffic,None,None,None,None,None,None,None,None,None
23082093,American Radical: the trials of Norman Finkelstein,None,None,None,None,None,None,None,None,None
24234358,Lady Behave!,None,None,None,None,None,None,None,None,None
8250382,Sludge,None,None,None,None,None,None,None,None,None
31063484,A Warrior's Heart,None,None,None,None,None,None,None,None,None
6708645,Big Bird in Japan,None,None,None,None,None,None,None,None,None
978631,Pork Chop Hill,None,None,None,None,None,None,None,None,None
4576677,Paid in Full,None,None,None,None,None,None,None,None,None
5566129,Code of the Sea,None,None,None,None,None,None,None,None,None
17736304,The Longshots,None,None,None,None,None,None,None,None,None
13501099,Walk All Over Me,None,None,None,None,None,None,None,None,None
14143898,The Monster and the Ape,None,None,None,None,None,None,None,None,None
4678118,The Toast of New York,None,None,None,None,None,None,None,None,None
23539428,A Woman's Way,None,None,None,None,None,None,None,None,None
14737481,Drive a Crooked Road,None,None,None,None,None,None,None,None,None
16184187,Popcorn Khao! Mast Ho Jao,None,None,None,None,None,None,None,None,None
21131496,La Virgen gitana,None,None,None,None,None,None,None,None,None
10791898,Iraivan Kodutha Varam,None,None,None,None,None,None,None,None,None
6091958,It's Great To Be Young,None,None,None,None,None,None,None,None,None
12638350,Luxury Car,None,None,None,None,None,None,None,None,None
3801308,Heads or tails,None,None,None,None,None,None,None,None,None
26017269,Art Deco Detective,None,None,None,None,None,None,None,None,None
6685734,Firecracker,None,None,None,None,None,None,None,None,None
