producer,producer_popularity,year,movie_title,wikipedia_movie_id,movie_score
Herbert Brenon,0.0,1914.0,Neptune's Daughter,15340505,65.53706569543269
Howell Hansel,0.0,1914.0,The Million Dollar Mystery,15130915,67.69559783346718
Oscar Apfel,0.0,1914.0,The Squaw Man,1762869,61.66715404968295
Cecil B. DeMille,0.0,1914.0,Rose of the Rancho,14613957,43.41930258455658
D.W. Griffith,0.0,1915.0,The Birth of a Nation,3333,77.01293194172695
Willis H. O'Brien,0.0,1918.0,The Ghost of Slumber Mountain,7582987,60.47004231295418
Abel Gance,0.0,1919.0,J'accuse!,13690044,78.75414902997113
Robert Wiene,0.0,1920.0,The Cabinet of Dr. Caligari,173650,66.38809759278736
John Francis Dillon,0.0,1920.0,Suds,5383633,66.38172800372973
D.W. Griffith,25.67097731390898,1920.0,Way Down East,4499436,76.56141836216067
Charles Chaplin,0.0,1921.0,The Kid,1346905,80.94487062449898
Fritz Lang,0.0,1921.0,Der müde Tod,2610460,64.95129054240493
Alfred E. Green,0.0,1921.0,Little Lord Fauntleroy,21135479,70.04223482187616
Rex Ingram,0.0,1921.0,The Four Horsemen of the Apocalypse,2137591,75.5988134710693
Herbert G. Ponting,0.0,1922.0,The Great White Silence,33088785,70.17462849565828
Sidney Franklin,0.0,1922.0,Smilin' Through,20546651,74.06611600755167
F.W. Murnau,0.0,1922.0,Nosferatu,82423,67.96721621781286
Harry Beaumont,0.0,1923.0,The Gold Diggers,16023743,60.744449147622426
Charles Chaplin,26.98162354149966,1923.0,A Woman of Paris,546663,60.604564723608
James Cruze,0.0,1923.0,The Covered Wagon,7364373,72.07245903685815
Cecil B. DeMille,14.47310086151886,1923.0,The Ten Commandments,3202250,73.69693754606241
Erich von Stroheim,0.0,1924.0,Greed,73930,74.71650230619053
King Vidor,0.0,1924.0,His Hour,14198166,63.70047708627079
Fred C. Newmeyer,0.0,1924.0,Girl Shy,3371111,76.89345031863355
Charles Chaplin,47.18314511603566,1925.0,The Gold Rush,73882,81.6157859758847
Rupert Julian,0.0,1925.0,The Phantom of the Opera,308930,76.21158259545261
Fred Niblo,0.0,1925.0,Ben-Hur,1343327,81.93306260947402
Noel M. Smith,0.0,1925.0,Clash of the Wolves,2013883,66.67154946111691
Harry O. Hoyt,0.0,1925.0,The Lost World,2509613,73.96999327034537
Fred C. Newmeyer,25.631150106211184,1925.0,The Freshman,3831825,76.81919413024545
Sergei Eisenstein,0.0,1925.0,Battleship Potemkin,77865,70.58274313434666
Lotte Reiniger,0.0,1926.0,Die Abenteuer des Prinzen Achmed,4321732,71.08128424667521
Frances H. Flaherty,0.0,1926.0,Moana,180190,56.85383720422894
Clyde Bruckman,0.0,1926.0,The General,68388,78.23951808945833
Maurice Tourneur,0.0,1926.0,Aloma of the South Seas,25442375,66.75941298368151
George Fitzmaurice,0.0,1926.0,Son of the Sheik,2107037,72.50328664437475
Fritz Lang,21.650430180801646,1927.0,Metropolis,49696,80.19325805181153
F.W. Murnau,22.655738739270955,1927.0,Sunrise: A Song of Two Humans,61904,73.39015775513683
Alfred Hitchcock,0.0,1927.0,The Lodger: A Story of the London Fog,287408,67.64432381276721
Frank Borzage,0.0,1927.0,Seventh Heaven,61049,76.52646528697123
William A. Wellman,0.0,1927.0,Wings,61046,58.554090057935305
Tod Browning,0.0,1927.0,The Unknown,3566585,63.494944049007565
Alan Crosland,0.0,1927.0,The Jazz Singer,68145,71.06527003259491
Abel Gance,26.251383009990377,1927.0,Napoléon,196923,71.40218029967428
Paul Leni,0.0,1928.0,The Man Who Laughs,8864659,62.67562327663765
Clarence Brown,0.0,1928.0,A Woman of Affairs,24587655,73.56020382275494
Charles Chaplin,74.38840710799722,1928.0,The Circus,142780,69.9902348840403
Frank Borzage,25.508821762323745,1928.0,Street Angel,171990,74.6697734505427
Lloyd Bacon,0.0,1928.0,The Singing Fool,1995966,71.07063654738036
Edward Sedgwick,0.0,1928.0,The Cameraman,5656505,78.98854372637581
Norton S. Parker,0.0,1928.0,The Road to Ruin,25721717,72.51415183997211
Carl Theodor Dreyer,0.0,1928.0,The Passion of Joan of Arc,457561,69.46679529666162
Dziga Vertov,0.0,1929.0,Man with a Movie Camera,185564,66.72739132362784
Franz Osten,0.0,1929.0,A Throw of Dice,12973724,54.500086378494984
Georg Wilhelm Pabst,0.0,1929.0,Pandora's Box,457578,70.07548878083978
Marshall Neilan,0.0,1929.0,The Vagabond Lover,24395375,56.95455982686746
Raoul Walsh,0.0,1929.0,The Cock-Eyed World,19096833,64.15580117547496
Jack Conway,0.0,1929.0,Our Modern Maidens,11558403,66.37618526280025
Wesley Ruggles,0.0,1929.0,Street Girl,13995078,66.74281524784817
Wesley Ruggles,0.0,1929.0,Condemned,142844,66.77005707004658
David Butler,0.0,1929.0,Sunny Side Up,9251956,71.32785314501268
Sidney Franklin,24.688705335850557,1929.0,Wild Orchids,24587933,68.30677029646218
Charles Reisner,0.0,1929.0,The Hollywood Revue of 1929,44771,68.14707175234935
Luther Reed,0.0,1929.0,Rio Rita,4562661,67.54156307022892
Harry Beaumont,20.248149715874142,1929.0,The Broadway Melody,61182,65.61931864606898
Roy Del Ruth,0.0,1929.0,Gold Diggers of Broadway,5864450,74.09941485718299
Donald Crisp,0.0,1930.0,The Runaway Bride,5884622,55.179179536637314
Victor Fleming,0.0,1930.0,Common Clay,5566327,68.01634437982476
Luis Buñuel,0.0,1930.0,L'Âge d'Or,215522,64.96458245259885
Paul Sloane,0.0,1930.0,The Cuckoos,19495315,65.22671863429672
Luther Reed,22.51385435674297,1930.0,Hit the Deck,18092214,75.6111836009956
Paul Sloane,0.0,1930.0,Half Shot at Sunrise,14795399,64.78763118148221
